WORD,FREQUENCY 
wilt,5 
rest,5 
along,5 
break,5 
times,5 
resolved,5 
hither,5 
yourselves,5 
gave,5 
woman,5 
tongue,5 
brave,5 
battle,5 
enemy,5 
prepare,5 
blame,5 
deed,5 
speak,5 
offended,5 
found,5 
tent,5 
forever,5 
tear,5 
poet,5 
tent,5 
enemy,5 
ride,5 
taen,5 
general,4 
soothsayer,4 
sardis,4 
street,4 
directly,4 
knave,4 
wear,4 
grace,4 
yea,4 
patient,4 
streets,4 
appear,4 
tiber,4 
way,4 
light,4 
weep,4 
whether,4 
ceremonies,4 
about,4 
perceive,4 
above,4 
public,4 
flourish,4 
course,4 
portia,4 
among,4 
antonio,4 
speed,4 
remember,4 
noise,4 
press,4 
beware,4 
march,4 
look,4 
number,4 
war,4 
thoughts,4 
yourself,4 
use,4 
love,4 
dangerous,4 
king,4 
thing,4 
angry,4 
word,4 
bade,4 
coward,4 
fly,4 
lose,4 
write,4 
feeble,4 
honors,4 
ourselves,4 
masters,4 
patience,4 
lay,4 
glad,4 
pluck,4 
note,4 
cicero,4 
quite,4 
smiles,4 
spirit,4 
offered,4 
honest,4 
was,4 
these,4 
almost,4 
air,4 
to,4 
taken,4 
spoke,4 
remember,4 
gives,4 
tomorrow,4 
minds,4 
citizens,4 
street,4 
held,4 
sword,4 
whos,4 
roman,4 
heaven,4 
tempt,4 
dreadful,4 
monstrous,4 
fearful,4 
dagger,4 
power,4 
begin,4 
redress,4 
made,4 
cimber,4 
appear,4 
offense,4 
taper,4 
strike,4 
awake,4 
dangerous,4 
no,4 
stands,4 
spirits,4 
enterprise,4 
hands,4 
seem,4 
does,4 
fast,4 
wise,4 
sick,4 
dare,4 
awhile,4 
aside,4 
going,4 
servant,4 
end,4 
end,4 
lie,4 
enough,4 
wish,4 
wine,4 
others,4 
sirrah,4 
follow,4 
speaks,4 
ready,4 
satisfied,4 
voice,4 
freedom,4 
low,4 
beg,4 
pulpit,4 
mutiny,4 
red,4 
hence,4 
loved,4 
living,4 
friend,4 
